TXNAME,TXNAME*GENEID
NM_001180732.1,NM_001180732.1*DYN2
NM_001180736.3,NM_001180736.3*BNA7
NM_001180737.1,NM_001180737.1*TIF35
NM_001180738.1,NM_001180738.1*CYM1
NM_001180743.1,NM_001180743.1*PPM1
NM_001180749.3,NM_001180749.3*APT2
NM_001180751.3,NM_001180751.3*SSN2
rna-tK(CUU)D2,rna-tK(CUU)D2*tK(CUU)D2
NM_001180755.3,NM_001180755.3*RPS17B
NM_001180757.1,NM_001180757.1*UTP6
NM_001180759.3,NM_001180759.3*YHP1
NM_001180761.1,NM_001180761.1*TSA2
NM_001180762.1,NM_001180762.1*GUK1
NM_001180766.1,NM_001180766.1*HEH2
NM_001180767.1,NM_001180767.1*PFA5
NM_001184679.1,NM_001184679.1*YDR461C-A
NM_001180773.1,NM_001180773.1*RMT2
NM_001180776.3,NM_001180776.3*TLG1
NM_001180778.2,NM_001180778.2*UGO1
NM_001180781.3,NM_001180781.3*PRP3
NM_001180783.1,NM_001180783.1*JIP4
NM_001180784.1,NM_001180784.1*YDR476C
NM_001180787.1,NM_001180787.1*PEX29
NM_001180789.3,NM_001180789.3*PHO8
NM_001180790.3,NM_001180790.3*CWC21
NM_001180793.3,NM_001180793.3*VPS72
NM_001180794.3,NM_001180794.3*VPS60
NM_001180795.1,NM_001180795.1*RIB3
NM_001180796.1,NM_001180796.1*PAC11
NM_001180798.3,NM_001180798.3*PKH1
NM_001180803.3,NM_001180803.3*VPS3
NM_001180804.1,NM_001180804.1*PUF6
NM_001180805.1,NM_001180805.1*ITR1
NM_001180806.3,NM_001180806.3*SEC20
NM_001180808.1,NM_001180808.1*RPL37B
NM_001180810.3,NM_001180810.3*SAM2
NM_001180811.3,NM_001180811.3*LPP1
NM_001180812.1,NM_001180812.1*SPG3
NM_001180813.2,NM_001180813.2*PSP1
NM_001180814.3,NM_001180814.3*GMC1
rna-tL(CAA)D,rna-tL(CAA)D*tL(CAA)D
NM_001180815.3,NM_001180815.3*GIN4
NM_001180816.1,NM_001180816.1*GNP1
NM_001180820.3,NM_001180820.3*EMI1
NM_001180822.1,NM_001180822.1*YDR514C
NM_001180824.3,NM_001180824.3*EMI2
NM_001180828.3,NM_001180828.3*URC2
NM_001180830.1,NM_001180830.1*SPS2
NM_001180831.1,NM_001180831.1*SPS1
NM_001180832.3,NM_001180832.3*AGE1
NM_001184631.1,NM_001184631.1*YDR524C-B
NR_132162.1,NR_132162.1*snR84
NM_001180837.1,NM_001180837.1*QCR7
NM_001180838.1,NM_001180838.1*APA2
NM_001180840.3,NM_001180840.3*KRE28
NM_001180841.1,NM_001180841.1*HSP31
NM_001180842.1,NM_001180842.1*FIT1
NM_001180848.1,NM_001180848.1*IRC4
NM_001180849.4,NM_001180849.4*YDR541C
NM_001178887.1,NM_001178887.1*RMD6
NM_001178886.1,NM_001178886.1*DLD3
NM_001178885.1,NM_001178885.1*DSF1
NM_001178881.1,NM_001178881.1*HPA3
NM_001178880.3,NM_001178880.3*SIT1
NM_001178877.3,NM_001178877.3*NPR2
NM_001178873.1,NM_001178873.1*PCM1
NM_001178871.3,NM_001178871.3*HAT2
NM_001178867.1,NM_001178867.1*AFG1
NM_001178866.1,NM_001178866.1*VMA8
NR_132164.1,NR_132164.1*snR67
NR_132165.1,NR_132165.1*snR53
NM_001178864.1,NM_001178864.1*PAU2
NM_001178859.1,NM_001178859.1*IES6
NM_001178858.3,NM_001178858.3*YEL043W
NM_001178857.1,NM_001178857.1*GDA1
NM_001178856.1,NM_001178856.1*YEF1
NM_001178855.3,NM_001178855.3*UTR2
NM_001178853.1,NM_001178853.1*UTR4
NM_001178849.3,NM_001178849.3*HYP2
NM_001178848.1,NM_001178848.1*MTC7
rna-tS(AGA)E,rna-tS(AGA)E*tS(AGA)E
NM_001178847.1,NM_001178847.1*MCM3
NM_001178846.3,NM_001178846.3*SPF1
NM_001178845.1,NM_001178845.1*ECM10
NM_001348820.1,NM_001348820.1*YEL028W
rna-tM(CAU)E,rna-tM(CAU)E*IMT4
NM_001178842.3,NM_001178842.3*VMA3
NM_001178841.1,NM_001178841.1*SNU13
NM_001178839.3,NM_001178839.3*RIP1
NM_001178837.1,NM_001178837.1*GEA2
NM_001178836.3,NM_001178836.3*URA3
NM_001184349.1,NM_001184349.1*TIM9
NM_001178833.1,NM_001178833.1*EAF5
NM_001178832.3,NM_001178832.3*GTT3
NM_001178830.1,NM_001178830.1*EDC3
NM_001178828.3,NM_001178828.3*VAC8
NM_001178827.1,NM_001178827.1*UBC8
NM_001178826.1,NM_001178826.1*GLC3
rna-tR(UCU)E,rna-tR(UCU)E*tR(UCU)E
NM_001348823.1,NM_001348823.1*YEL008W
NM_001178822.1,NM_001178822.1*MIT1
NM_001178821.1,NM_001178821.1*YEA6
NM_001178819.1,NM_001178819.1*YEA4
NM_001178818.1,NM_001178818.1*GIM4
NM_001178892.1,NM_001178892.1*MNN1
NM_001178893.3,NM_001178893.3*NOP16
NM_001178895.1,NM_001178895.1*FMP52
NM_001178896.3,NM_001178896.3*YND1
NM_001178897.1,NM_001178897.1*NUG1
NM_001178898.1,NM_001178898.1*PAC2
NM_001178900.1,NM_001178900.1*NTF2
NM_001178902.1,NM_001178902.1*TIR1
rna-tE(UUC)E1,rna-tE(UUC)E1*tE(UUC)E1
NM_001178903.1,NM_001178903.1*PRE1
NM_001178904.3,NM_001178904.3*PRP22
NM_001178905.1,NM_001178905.1*HEM14
NM_001178906.3,NM_001178906.3*FAA2
NM_001178907.1,NM_001178907.1*BIM1
NM_001178910.1,NM_001178910.1*ISC1
NM_001178911.3,NM_001178911.3*GPA2
NM_001178912.1,NM_001178912.1*RPN3
NM_001178913.1,NM_001178913.1*SRB4
NM_001178914.3,NM_001178914.3*PRO3
NM_001178915.1,NM_001178915.1*YAT2
NM_001178916.1,NM_001178916.1*GCD11
rna-tH(GUG)E1,rna-tH(GUG)E1*tH(GUG)E1
NM_001178921.1,NM_001178921.1*CHZ1
NM_001178923.3,NM_001178923.3*FIR1
NM_001178925.1,NM_001178925.1*YER034W
NM_001178926.3,NM_001178926.3*EDC2
NM_001178928.1,NM_001178928.1*PHM8
NM_001301348.1,NM_001301348.1*FMP49
NM_001178931.3,NM_001178931.3*GLN3
NM_001178932.2,NM_001178932.2*YEN1
NM_001178933.1,NM_001178933.1*MXR1
NM_001178937.1,NM_001178937.1*SPO73
rna-tQ(UUG)E1,rna-tQ(UUG)E1*tQ(UUG)E1
NM_001184330.1,NM_001184330.1*ISD11
NM_001178940.1,NM_001178940.1*TPA1
NM_001178942.1,NM_001178942.1*JHD1
NM_001178949.1,NM_001178949.1*PET117
NM_001178950.1,NM_001178950.1*PCL6
NM_001178951.3,NM_001178951.3*FCY21
NM_001180858.1,NM_001180858.1*FCY22
NM_001178954.1,NM_001178954.1*THO1
NM_001178957.1,NM_001178957.1*RRT13
NM_001178958.1,NM_001178958.1*RGI1
NM_001178959.3,NM_001178959.3*MOT2
NM_001178960.1,NM_001178960.1*ARG5,6
NM_001178961.1,NM_001178961.1*RNR1
NM_001178963.1,NM_001178963.1*VTC1
NM_001178964.2,NM_001178964.2*ALD5
NM_001178965.3,NM_001178965.3*RPS24A
NM_001184512.1,NM_001184512.1*YOS1
NM_001184548.3,NM_001184548.3*YER078W-A
NM_001178970.1,NM_001178970.1*YER079W
NM_001178971.1,NM_001178971.1*AIM9
NR_132168.1,NR_132168.1*SRG1
NM_001178972.3,NM_001178972.3*SER3
NM_001270744.1,NM_001270744.1*YER084W
NM_001178977.1,NM_001178977.1*ILV1
NM_001178978.1,NM_001178978.1*AIM10
NM_001178981.1,NM_001178981.1*TRP2
NM_001178983.3,NM_001178983.3*IES5
NM_001178986.3,NM_001178986.3*RAD51
NM_001178987.1,NM_001178987.1*SHC1
rna-tE(UUC)E2,rna-tE(UUC)E2*tE(UUC)E2
NM_001178989.1,NM_001178989.1*UBP9
NM_001178991.3,NM_001178991.3*UBC6
NM_001178993.1,NM_001178993.1*RPS8B
NM_001178994.3,NM_001178994.3*SSA4
NM_001178995.3,NM_001178995.3*RTT105
NM_001178997.1,NM_001178997.1*MAM1
NM_001179002.3,NM_001179002.3*LSM4
NM_001179007.3,NM_001179007.3*RPL23B
NM_001179010.3,NM_001179010.3*SCS2
NM_001179011.3,NM_001179011.3*YER121W
NM_001179013.1,NM_001179013.1*YCK3
NM_001179015.3,NM_001179015.3*RSP5
NM_001179017.1,NM_001179017.1*LCP5
NM_001179018.3,NM_001179018.3*VFA1
NM_001179019.3,NM_001179019.3*SAK1
NM_001179021.1,NM_001179021.1*RPS26B
NR_132169.1,NR_132169.1*snR4
NM_001179023.3,NM_001179023.3*GLC7
rna-tV(AAC)E1,rna-tV(AAC)E1*tV(AAC)E1
NM_001179026.1,NM_001179026.1*GDI1
NR_132171.1,NR_132171.1*SCR1
NM_001184332.1,NM_001184332.1*YER138W-A
NM_001179030.3,NM_001179030.3*EMP65
NM_001179031.1,NM_001179031.1*COX15
NM_001179033.3,NM_001179033.3*DDI1
NM_001179036.1,NM_001179036.1*LSM5
NM_001179038.3,NM_001179038.3*SPT15
NM_001179040.1,NM_001179040.1*SPI1
rna-tV(AAC)E2,rna-tV(AAC)E2*tV(AAC)E2
NM_001179044.1,NM_001179044.1*OXA1
NM_001179047.1,NM_001179047.1*COG3
NM_001179054.1,NM_001179054.1*CHD1
NM_001179055.1,NM_001179055.1*PAB1
NM_001179056.3,NM_001179056.3*DNF1
NM_001179057.3,NM_001179057.3*BCK2
NM_001179059.1,NM_001179059.1*RPH1
NM_001179060.3,NM_001179060.3*ADK2
NM_001179061.3,NM_001179061.3*RAD3
NM_001179063.1,NM_001179063.1*RAD24
NM_001184589.1,NM_001184589.1*YER175W-A
NM_001179066.1,NM_001179066.1*ECM32
NM_001179067.3,NM_001179067.3*BMH1
NM_001179068.3,NM_001179068.3*PDA1
NM_001179069.1,NM_001179069.1*DMC1
NM_001179072.3,NM_001179072.3*FMP10
NM_001179075.3,NM_001179075.3*PUG1
NM_001179077.1,NM_001179077.1*YER187W
NM_001348829.1,NM_001348829.1*YER188W
NM_001179079.3,NM_001179079.3*YER189W
NM_001179080.3,NM_001179080.3*YRF1-2
NM_001184302.1,NM_001184302.1*YEL077C
NM_001180855.1,NM_001180855.1*YEL076C-A
NM_001178891.1,NM_001178891.1*YEL076C
NM_001178890.1,NM_001178890.1*YEL075C
NM_001178888.1,NM_001178888.1*YEL073C
NM_001178884.1,NM_001178884.1*HXT13
NM_001270743.1,NM_001270743.1*YEL068C
NM_001178882.1,NM_001178882.1*YEL067C
NM_001178879.1,NM_001178879.1*AVT2
NM_001178878.1,NM_001178878.1*CAN1
NM_001178876.1,NM_001178876.1*CIN8
NM_001178875.1,NM_001178875.1*PRB1
NM_001180854.3,NM_001180854.3*SOM1
NM_001178872.1,NM_001178872.1*SDD1
NM_001178870.1,NM_001178870.1*POL5
NR_132163.1,NR_132163.1*snR80
NM_001178869.1,NM_001178869.1*RPL12A
NM_001178868.3,NM_001178868.3*MAK10
NM_001178865.3,NM_001178865.3*RML2
rna-tG(GCC)E,rna-tG(GCC)E*tG(GCC)E
NM_001178863.1,NM_001178863.1*TCA17
NM_001178862.3,NM_001178862.3*FRD1
NM_001178861.1,NM_001178861.1*GLY1
NM_001178854.1,NM_001178854.1*CYC7
NM_001178852.3,NM_001178852.3*RAD23
NM_001178851.1,NM_001178851.1*ANP1
NM_001178850.1,NM_001178850.1*UTR5
NM_001178844.1,NM_001178844.1*BUD16
NM_001178840.1,NM_001178840.1*YEL025C
NM_001178838.1,NM_001178838.1*YEL023C
NR_132166.1,NR_132166.1*RPR1
NM_001178835.1,NM_001178835.1*PXP1
NM_001178834.3,NM_001178834.3*MMS21
NM_001180029.1,NM_001180029.1*PMP2
NM_001178831.1,NM_001178831.1*NPP2
NM_001348821.1,NM_001348821.1*YEL014C
rna-tQ(UUG)E2,rna-tQ(UUG)E2*tQ(UUG)E2
rna-tK(CUU)E1,rna-tK(CUU)E1*tK(CUU)E1
NM_001348822.1,NM_001348822.1*YEL009C-A
NM_001178824.3,NM_001178824.3*GCN4
NM_001178820.3,NM_001178820.3*VAB2
NM_001178817.3,NM_001178817.3*WBP1
NM_001178816.1,NM_001178816.1*IRC22
NM_001178894.1,NM_001178894.1*PMI40
NM_001180857.3,NM_001180857.3*TMA20
NR_132167.1,NR_132167.1*snR14
NM_001178899.1,NM_001178899.1*SEC3
NM_001178901.3,NM_001178901.3*YER010C
NM_001184456.1,NM_001184456.1*BUD25
NM_001178908.1,NM_001178908.1*AFG3
NM_001178909.3,NM_001178909.3*SPC25
NM_001180031.1,NM_001180031.1*SBH2
NM_001178917.3,NM_001178917.3*CHO1
NM_001178918.1,NM_001178918.1*GAL83
NM_001178919.1,NM_001178919.1*MIG3
NM_001178920.3,NM_001178920.3*SMB1
NM_001178922.1,NM_001178922.1*YPT31
NM_001178924.1,NM_001178924.1*ZRG8
NM_001178927.1,NM_001178927.1*ARB1
NM_001178929.3,NM_001178929.3*KRE29
NM_001178930.1,NM_001178930.1*HVG1
NM_001184319.1,NM_001184319.1*YER039C-A
NM_001178934.3,NM_001178934.3*SAH1
NM_001178935.1,NM_001178935.1*ERG28
NM_001180023.1,NM_001180023.1*MEI4
NM_001178936.3,NM_001178936.3*ACA1
NM_001178938.1,NM_001178938.1*SAP1
NM_001178939.3,NM_001178939.3*CAJ1
NM_001178941.3,NM_001178941.3*RSM18
NM_001178943.1,NM_001178943.1*HOM3
NM_001178944.3,NM_001178944.3*PIC2
NM_001184444.1,NM_001184444.1*YER053C-A
NM_001178945.1,NM_001178945.1*GIP2
NM_001178946.3,NM_001178946.3*HIS1
NM_001178947.1,NM_001178947.1*FCY2
NM_001180036.1,NM_001180036.1*RPL34A
NM_001178948.3,NM_001178948.3*HMF1
NM_001178952.2,NM_001178952.2*CEM1
NM_001178953.3,NM_001178953.3*GPP2
NM_001178955.1,NM_001178955.1*VHR2
NM_001178956.3,NM_001178956.3*ICL1
rna-tS(UGA)E,rna-tS(UGA)E*SUP19
NM_001178962.3,NM_001178962.3*TDA2
NM_001178966.2,NM_001178966.2*PTP3
rna-tA(UGC)E,rna-tA(UGC)E*tA(UGC)E
NM_001178967.3,NM_001178967.3*YER076C
NM_001178968.1,NM_001178968.1*MRX1
NM_001178969.1,NM_001178969.1*ICP55
NM_001178973.1,NM_001178973.1*UTP7
NM_001178974.1,NM_001178974.1*GET2
NM_001178976.3,NM_001178976.3*YER085C
NM_001180032.3,NM_001180032.3*SBH1
NM_001178979.3,NM_001178979.3*DOT6
NM_001178980.1,NM_001178980.1*PTC2
NM_001178982.3,NM_001178982.3*MET6
NM_001178984.1,NM_001178984.1*TSC11
NM_001180860.1,NM_001180860.1*AIM11
NM_001178985.3,NM_001178985.3*PUP3
NM_001178990.3,NM_001178990.3*PRS2
NM_001178992.1,NM_001178992.1*AST2
NM_001178996.1,NM_001178996.1*NUP157
NM_001178998.3,NM_001178998.3*GLE2
FLO8,FLO8*FLO8
NM_001179000.1,NM_001179000.1*KAP123
NM_001179001.1,NM_001179001.1*SWI4
NM_001179003.3,NM_001179003.3*TMN3
NM_001179004.1,NM_001179004.1*BOI2
NM_001179005.1,NM_001179005.1*SPR6
NM_001179006.3,NM_001179006.3*SLX8
NM_001179008.1,NM_001179008.1*SHO1
NM_001179009.1,NM_001179009.1*AVT6
NM_001179012.1,NM_001179012.1*GLO3
NM_001179014.3,NM_001179014.3*DSE1
NM_001179016.1,NM_001179016.1*NSA2
NM_001179020.1,NM_001179020.1*COM2
NM_001179022.3,NM_001179022.3*PMD1
NR_132170.1,NR_132170.1*snR52
rna-tH(GUG)E2,rna-tH(GUG)E2*tH(GUG)E2
rna-tK(CUU)E2,rna-tK(CUU)E2*tK(CUU)E2
NM_001179024.1,NM_001179024.1*YER134C
NM_001348826.1,NM_001348826.1*YER135C
NM_001179027.3,NM_001179027.3*YER137C
rna-tI(AAU)E1,rna-tI(AAU)E1*tI(AAU)E1
NM_001179028.4,NM_001179028.4*YER138C
NM_001184428.1,NM_001184428.1*YER137C-A
NM_001179029.3,NM_001179029.3*RTR1
NM_001179032.1,NM_001179032.1*MAG1
NM_001179034.3,NM_001179034.3*UBP5
NM_001179035.1,NM_001179035.1*FTR1
NM_001348827.1,NM_001348827.1*YER145C-A
NM_001179037.3,NM_001179037.3*SCC4
NM_001179039.1,NM_001179039.1*PEA2
NM_001179041.3,NM_001179041.3*UBP3
NM_001179042.3,NM_001179042.3*YER152C
NM_001179043.1,NM_001179043.1*PET122
NM_001179045.3,NM_001179045.3*BEM2
NM_001179046.3,NM_001179046.3*YER156C
rna-tE(UUC)E3,rna-tE(UUC)E3*tE(UUC)E3
NM_001179048.1,NM_001179048.1*YER158C
NM_001179049.3,NM_001179049.3*BUR6
rna-tR(ACG)E,rna-tR(ACG)E*tR(ACG)E
NM_001179050.4,NM_001179050.4*YER160C
NM_001184429.1,NM_001184429.1*YER159C-A
NM_001179051.1,NM_001179051.1*SPT2
NM_001179052.4,NM_001179052.4*RAD4
NM_001179053.3,NM_001179053.3*GCG1
NM_001179058.1,NM_001179058.1*CCA1
NM_001179062.1,NM_001179062.1*BRR2
NM_001179064.3,NM_001179064.3*GRX4
NM_001179065.3,NM_001179065.3*TMT1
NM_001179070.1,NM_001179070.1*ISC10
NM_001184517.3,NM_001184517.3*SLO1
rna-tI(AAU)E2,rna-tI(AAU)E2*tI(AAU)E2
NM_001348828.1,NM_001348828.1*YER181C
NM_001179073.1,NM_001179073.1*FAU1
NM_001179074.1,NM_001179074.1*TOG1
NM_001179076.3,NM_001179076.3*YER186C
NM_001184633.1,NM_001184633.1*YER188C-A
NM_001184590.1,NM_001184590.1*YER190C-B
NM_001179899.1,NM_001179899.1*YFL068W
NM_001179900.1,NM_001179900.1*YFL067W
NM_001179905.1,NM_001179905.1*COS4
NM_001179906.1,NM_001179906.1*DDI2
NM_001179908.1,NM_001179908.1*SNZ3
NM_001179909.1,NM_001179909.1*THI5
NM_001179912.1,NM_001179912.1*AGP3
NM_001179914.1,NM_001179914.1*DAK2
NM_001179915.1,NM_001179915.1*ZNF1
NM_001179918.1,NM_001179918.1*SWP82
NM_001179920.1,NM_001179920.1*RGD2
NM_001179921.1,NM_001179921.1*FMP32
NM_001184549.1,NM_001184549.1*YFL041W-A
NM_001179925.1,NM_001179925.1*FET5
NM_001179926.1,NM_001179926.1*YFL040W
NM_001179929.1,NM_001179929.1*TUB2
NM_001179930.1,NM_001179930.1*RPO41
NM_001179932.2,NM_001179932.2*MIL1
NM_001179935.1,NM_001179935.1*HAC1
NM_001179936.1,NM_001179936.1*AGX1
NM_001179940.2,NM_001179940.2*STE2
NM_001179943.1,NM_001179943.1*BUD27
NM_001179945.1,NM_001179945.1*GAT1
rna-tP(UGG)F,rna-tP(UGG)F*SUF9
NM_001180864.1,NM_001180864.1*SMX2
NM_001179952.1,NM_001179952.1*HSP12
NM_001179954.1,NM_001179954.1*YFL012W
NM_001179955.1,NM_001179955.1*HXT10
NM_001180024.1,NM_001180024.1*AUA1
NM_001179957.1,NM_001179957.1*CDC4
NM_001179958.1,NM_001179958.1*SMC1
NM_001179959.1,NM_001179959.1*BLM10
NM_001179961.1,NM_001179961.1*SEC4
NM_001179962.1,NM_001179962.1*VTC2
NM_001184430.1,NM_001184430.1*YFL002W-B
NM_001180862.2,NM_001180862.2*YFL002W-A
NM_001179965.1,NM_001179965.1*DEG1
NM_001179966.1,NM_001179966.1*LOC1
NM_001179967.1,NM_001179967.1*NIC96
NM_001179969.1,NM_001179969.1*RPN11
NM_001179971.1,NM_001179971.1*YFR006W
NM_001179972.1,NM_001179972.1*YFH7
NM_001179973.1,NM_001179973.1*FAR7
rna-tG(GCC)F1,rna-tG(GCC)F1*SUF20
NM_001179974.1,NM_001179974.1*GCN20
NM_001179975.1,NM_001179975.1*UBP6
rna-tY(GUA)F1,rna-tY(GUA)F1*SUP11
NM_001179977.1,NM_001179977.1*DCV1
NM_001184472.1,NM_001184472.1*YFR012W-A
NM_001179978.1,NM_001179978.1*IOC3
NM_001179984.2,NM_001179984.2*FAB1
NM_001270745.1,NM_001270745.1*CSS2
NM_001179986.1,NM_001179986.1*ATG18
NM_001179987.3,NM_001179987.3*ROG3
NM_001179988.1,NM_001179988.1*PES4
NM_001179992.1,NM_001179992.1*ECO1
NM_001179994.1,NM_001179994.1*PTR3
NM_001179995.3,NM_001179995.3*MET10
NR_132175.1,NR_132175.1*RUF23
NM_001180001.1,NM_001180001.1*CDC26
NM_001180003.1,NM_001180003.1*IRC5
NM_001180005.2,NM_001180005.2*SAP155
NM_001180007.1,NM_001180007.1*KEG1
NM_001180010.3,NM_001180010.3*YFR045W
NM_001180013.1,NM_001180013.1*RMD8
NM_001180014.3,NM_001180014.3*YMR31
NM_001180017.1,NM_001180017.1*RPN12
NM_001180021.1,NM_001180021.1*IRC7
NM_001180022.3,NM_001180022.3*YFR057W
NM_001179901.1,NM_001179901.1*YFL066C
NM_001179902.1,NM_001179902.1*YFL065C
NM_001179903.1,NM_001179903.1*YFL064C
NM_001179907.1,NM_001179907.1*SNO3
NM_001179913.1,NM_001179913.1*AQY3
NM_001179916.1,NM_001179916.1*YFL051C
NM_001179917.1,NM_001179917.1*ALR2
NM_001179919.1,NM_001179919.1*EMP47
NM_001179922.1,NM_001179922.1*SEC53
NM_001179923.1,NM_001179923.1*OTU1
NM_001179924.1,NM_001179924.1*LAM5
NM_001179927.1,NM_001179927.1*ACT1
NM_001179928.1,NM_001179928.1*YPT1
NR_132172.1,NR_132172.1*RUF21
NM_001179931.1,NM_001179931.1*MOB2
NM_001184310.1,NM_001184310.1*RPL22B
NM_001179933.1,NM_001179933.1*RIM15
NM_001179937.1,NM_001179937.1*CAK1
NM_001179938.1,NM_001179938.1*CAF16
NM_001179939.1,NM_001179939.1*GYP8
NM_001179941.1,NM_001179941.1*BST1
NM_001179942.1,NM_001179942.1*EPL1
NM_001179944.2,NM_001179944.2*FRS2
NM_001179946.1,NM_001179946.1*PAU5
NM_001348831.1,NM_001348831.1*YFL019C
NM_001179948.1,NM_001179948.1*LPD1
NM_001179949.1,NM_001179949.1*GNA1
NM_001179950.1,NM_001179950.1*MDJ1
NM_001348832.1,NM_001348832.1*YFL015C
NM_001179953.1,NM_001179953.1*IES1
NM_001179956.1,NM_001179956.1*WWM1
NR_132173.1,NR_132173.1*RUF20
NM_001179963.1,NM_001179963.1*MSH4
rna-tN(GUU)F,rna-tN(GUU)F*tN(GUU)F
NM_001179964.1,NM_001179964.1*SPB4
NM_001179968.1,NM_001179968.1*YPI1
NM_001179970.1,NM_001179970.1*SAD1
rna-tF(GAA)F,rna-tF(GAA)F*tF(GAA)F
NM_001179976.1,NM_001179976.1*MIC19
NM_001179979.2,NM_001179979.2*CMK1
NM_001179980.1,NM_001179980.1*GSY1
NM_001179981.1,NM_001179981.1*YFR016C
rna-tG(GCC)F2,rna-tG(GCC)F2*tG(GCC)F2
NM_001179982.1,NM_001179982.1*IGD1
NM_001179983.1,NM_001179983.1*YFR018C
rna-tS(GCU)F,rna-tS(GCU)F*tS(GCU)F
NR_132174.1,NR_132174.1*RUF22
NM_001180865.3,NM_001180865.3*LSB3
NM_001179990.1,NM_001179990.1*HIS2
rna-tA(AGC)F,rna-tA(AGC)F*tA(AGC)F
NM_001179991.3,NM_001179991.3*ULI1
NM_001179993.3,NM_001179993.3*CDC14
rna-tY(GUA)F2,rna-tY(GUA)F2*SUP6
NM_001179996.2,NM_001179996.2*SMC2
NM_001180030.3,NM_001180030.3*RPL2A
NM_001179997.1,NM_001179997.1*RRT5
NM_001184311.3,NM_001184311.3*RPL29
NM_001184591.1,NM_001184591.1*YFR032C-B
NM_001179998.3,NM_001179998.3*QCR6
NM_001179999.1,NM_001179999.1*PHO4
NM_001180000.3,NM_001180000.3*YFR035C
rna-tK(CUU)F,rna-tK(CUU)F*tK(CUU)F
NM_001180002.3,NM_001180002.3*RSC8
NM_001180004.3,NM_001180004.3*OSW7
NM_001180006.3,NM_001180006.3*ERJ5
NM_001180008.3,NM_001180008.3*IRC6
NM_001180009.1,NM_001180009.1*DUG1
NM_001180011.1,NM_001180011.1*CNN1
NM_001180012.3,NM_001180012.3*BNA6
NM_001180015.1,NM_001180015.1*PRE4
NM_001180016.3,NM_001180016.3*RET2
NM_001180018.3,NM_001180018.3*HXK1
NM_001348833.1,NM_001348833.1*YFR054C
NM_001181129.1,NM_001181129.1*COS12
NM_001181128.1,NM_001181128.1*YGL262W
NM_001181126.1,NM_001181126.1*YGL260W
NM_001181125.1,NM_001181125.1*YPS5
NM_001184473.1,NM_001184473.1*YGL258W-A
NM_001181124.1,NM_001181124.1*VEL1
NM_001181122.1,NM_001181122.1*ADH4
NM_001181121.1,NM_001181121.1*ZRT1
NM_001181120.1,NM_001181120.1*FZF1
NM_001181119.1,NM_001181119.1*HXK2
NM_001181116.1,NM_001181116.1*RMR1
NM_001181115.1,NM_001181115.1*ZIP2
NM_001181114.1,NM_001181114.1*PDE1
NM_001181113.1,NM_001181113.1*BRR6
NM_001181111.1,NM_001181111.1*GUS1
NM_001181110.1,NM_001181110.1*RTF1
NM_001181109.1,NM_001181109.1*TAD1
NM_001181107.1,NM_001181107.1*KAP114
NM_001181106.1,NM_001181106.1*DOC1
NM_001181104.1,NM_001181104.1*CSE1
NM_001181101.1,NM_001181101.1*YGL235W
NM_001181100.1,NM_001181100.1*ADE5,7
NM_001181099.1,NM_001181099.1*SEC15
NM_001181098.1,NM_001181098.1*TAN1
NM_001181094.1,NM_001181094.1*SHE10
NM_001181093.1,NM_001181093.1*VID30
NM_001181092.1,NM_001181092.1*MTC3
NM_001181090.1,NM_001181090.1*VRG4
NM_001181085.1,NM_001181085.1*BOL2
NM_001181081.1,NM_001181081.1*KIP3
NM_001181080.1,NM_001181080.1*CLG1
NM_001181077.1,NM_001181077.1*VAM7
NM_001181076.1,NM_001181076.1*NCS6
NM_001181075.1,NM_001181075.1*YPT32
NM_001181074.1,NM_001181074.1*MIG2
NM_001181073.2,NM_001181073.2*SIP2
NM_001181072.1,NM_001181072.1*SPT16
NM_001181070.1,NM_001181070.1*POX1
rna-tK(UUU)G1,rna-tK(UUU)G1*tK(UUU)G1
NM_001181067.1,NM_001181067.1*ARO8
rna-tK(CUU)G1,rna-tK(CUU)G1*tK(CUU)G1
NM_001181063.1,NM_001181063.1*YIP4
NM_001181062.2,NM_001181062.2*MDS3
NM_001181061.1,NM_001181061.1*DSD1
NM_001181060.3,NM_001181060.3*GCN1
NM_001181057.3,NM_001181057.3*IME4
NM_001181056.1,NM_001181056.1*COX13
NM_001181046.1,NM_001181046.1*GTS1
NM_001181045.1,NM_001181045.1*ATG1
NM_001181043.1,NM_001181043.1*MPT5
NM_001181039.3,NM_001181039.3*BUD13
NM_001181037.1,NM_001181037.1*NUP49
NM_001181036.1,NM_001181036.1*ROK1
NM_001181034.1,NM_001181034.1*SUA5
NM_001181033.1,NM_001181033.1*HUR1
NM_001181031.3,NM_001181031.3*CUP2
NM_001181027.1,NM_001181027.1*SUT1
NM_001181025.1,NM_001181025.1*AIM14
NM_001181024.1,NM_001181024.1*YGL159W
rna-tL(CAA)G1,rna-tL(CAA)G1*tL(CAA)G1
NM_001181023.1,NM_001181023.1*RCK1
NM_001181022.3,NM_001181022.3*ARI1
NM_001181021.1,NM_001181021.1*AMS1
NM_001181020.1,NM_001181020.1*CDC43
NM_001181018.3,NM_001181018.3*PEX14
NM_001181016.1,NM_001181016.1*NUT1
NM_001348834.1,NM_001348834.1*YGL149W
NM_001181013.1,NM_001181013.1*ARO2
NM_001181010.2,NM_001181010.2*TIP20
NM_001181006.1,NM_001181006.1*HUL5
NM_001181004.3,NM_001181004.3*FLC3
